Periodo,Caña_de_Azúcar,Café,Algodón_Rama,Uva,Aceituna,Cacao,Té,Palma_Aceitera,Achiote,Orégano,Arroz_Cáscara,Maíz_Amarillo_Duro,Maíz_Amilaceo,Trigo,Cebada_Grano,Quinua,Avena_Grano,Maíz_Morado,Papa,Yuca,Camote,Oca,Olluco,Maca,Mashua_o_Izaño,Alfalfa,Plátano,Limón,Naranja,Manzana,Mango,Piña,Papaya,Mandarina,Palta,Melocotón,Tuna,Sandía,Tangelo,Chirimoya,Lúcuma,Pacae,Melon,Marácuya,Fresa,Granadilla,Pecana,Espárrago,Maíz_Choclo,Tomate,Ajo,Cebolla,Cebolla China,Zapallo,Pimiento_Morrón,Piquillo,Zanahoria,Páprika,Alcachofa,Rocoto,Ají,Frijol_Grano_Seco,Arveja_Grano_Verde,Arveja_Grano_Seco,Haba_Grano_Verde,Haba_Grano_Seco,Pallar_Grano_Seco,Frijol_Caupi_Grano_Seco,Lenteja_Grano_Seco,Chocho_o_tarhui,Garbanzo_Grano_Seco,Ave,Ovino,Porcino,Vacuno,Caprino,Alpaca,Llama,Huevos,Leche_fresca,Fibra_Alpaca,Fibra_Llama,Lana
201810,1029.9,3.2,1,44.4,2.5,8.9,0.1,93,1.6,1.9,150.1,87.6,1.8,4,1,0.4,0,1.3,197.8,110.7,23.2,0.1,0.4,0,0,425.7,182.4,12.7,31.6,6.8,8.3,46.6,14.5,17.3,14,3.6,0.3,9.8,2.8,0.3,0,1,3.2,1.9,2.8,4.3,0,34.2,34.5,23.1,13.3,66.4,2.3,15.3,7.4,4,10.8,0.5,32.7,3.9,2.9,4.8,9.6,4.3,1.1,0,2.5,3.9,0,2.5,0.3,178.2,6.4,18.1,29.5,1,2,0.6,39.5,164.5,0.2,0,0
201811,1101.9,0.4,2.4,104.3,0,9,0.1,94,0.5,3.5,175.7,83.2,2.7,5.1,0.3,1,0,1.3,277.1,115.5,24.1,0,0.1,0,0,441.5,186.2,13.1,32.6,7.9,11.6,57.9,12.2,22.8,13.5,2.5,0.3,12.1,2,0.1,0.1,1.3,1.5,2.9,3.9,4.2,0,36.1,26.8,42.7,36.6,60.2,2.3,19.9,10.4,5.1,13.2,1.5,21.5,4,2.3,3,7.7,2.5,1.2,0,3.7,3.3,0,1.9,0.2,170.2,6.4,17.8,29.8,1,1.9,0.6,40.1,161.9,1.7,0.3,0.6
201812,1058.1,0.2,3.5,159.5,0,9.4,0.1,84.7,0.1,1.6,308.6,100.8,1.3,1.5,0.1,1.9,0,1.2,269.8,114.8,28.4,0,1.2,0,0,504.8,198.1,19.9,29,7.7,101.8,64,13,13.5,15.9,1.9,1.9,10.4,1.9,0.2,0.2,1.2,1.1,3.6,3.4,4.2,0,32.8,18.8,28.7,18.6,55.8,2.1,12.5,6.6,2.6,15.4,1.5,20.2,4.2,2.8,2.4,6.8,0.6,3,0,1.2,0.6,0,0.2,0,180.4,6.6,21.1,31.3,1.1,1.8,0.7,40.6,165.3,0.8,0.1,0.5
201901,868.2,0.5,1.9,112.4,0,9.1,0.2,80.3,0.1,0.6,148.5,102.7,0.5,0,0,1.6,0,2.2,223,98.1,23.6,0.1,1.8,0.1,0,504.5,192.7,27.5,25.1,13.1,166,52.8,11.8,6.7,16,3,8.6,9.9,3.3,1.2,1.1,6,1.8,5,2.7,3.3,0,31.7,36.4,26.9,5,45.7,2.2,16.4,3.5,2.6,17.5,3.1,7,3.7,4.5,3,9.4,0,4.6,0,0.1,0.3,0,0,0,170.5,5.8,18.2,28.3,0.9,1.8,0.6,40.1,175.7,0.3,0,0.7
201902,790.3,7.2,2.5,99,0,9.9,0.2,67.1,0.1,0.5,144.1,107.1,0.5,0,0,1,0,2.7,291.1,96.1,22.7,0.1,5.3,0,0.1,610.5,196.9,30.8,29.9,18,67.6,51.3,13.3,13,17,7.3,22.5,12,5.6,1.7,2.1,9.2,1.7,5.7,2.5,3.8,0,30,30.2,23,1.6,33.6,2.4,17.2,5.5,2.3,15.5,1.8,9,4.4,4.8,1.6,13.1,0.1,9.5,0.1,0,0.3,0,0,0,153,6.4,17.8,29.7,1,2.2,0.7,40.2,171.1,0.7,0.1,2.7
201903,880.2,23.1,4.4,72.8,8,11.2,0.2,75.6,0.1,0.9,294.2,78,1.4,0.4,0.3,2.4,0,2.5,474.6,100.3,21.5,0.5,11,0,0.1,812.5,192.5,33.1,31.9,14.4,28.1,48.6,14.4,39.6,46.2,7.8,23,12.8,7.5,3.5,3.7,8.5,1.7,5.8,1.1,4.8,0,32,49.8,14.8,1.1,27.5,2,20.3,6.4,1,16.1,2.9,10.2,4.2,6.3,1.6,19.3,0,14.8,0.3,0.1,0.4,0,0,0,172.1,6.8,18.2,30.8,1.1,2.4,0.7,40.2,183.9,0.7,0.1,1.9
201904,712.5,58.7,13.6,19.9,51.1,13.2,0.2,74.5,0,3.3,407.4,61.5,30.7,0.8,12.3,26,2.7,4.1,1039.4,107,28.6,21.4,30.8,0,5.6,947.5,185.8,31.2,32.3,16.4,5.2,45.2,13.8,57.8,87.6,4.4,12.8,9.2,7.3,4.7,2.7,6.2,0.9,4.6,0.5,4.9,0,28.4,75.9,9,2.6,65.5,2.1,19.1,4.2,0.3,15.5,1.9,7.5,4.4,3.7,4.6,17,1.3,15,9.6,0.1,0.8,0,0,0,177.6,7.7,18.4,32.8,1.1,2.9,0.8,40.3,190,0.1,0,0.3
201905,763,75.9,15.8,12.2,76,17.4,0.1,70.4,0,2.1,434.1,75.5,76.8,7.6,30.9,28,9.6,2.8,1244.8,113.1,27.2,36.4,64.6,1,17.9,784.1,187.2,31,51.6,16.2,1.6,43.3,14,69.6,134.5,2.2,4.8,7.4,6.6,4.1,1,3,1.1,6.5,0.2,5,0.7,26.7,59.5,9.5,2.7,36.3,2.7,15.7,2.3,0.2,13.9,3.2,4.7,4.5,2.8,12.8,12.8,6.6,8.8,17.7,0,2.1,0.1,1.6,0,182.1,8,18.7,33.7,1.1,2.8,0.8,40.7,194.6,0.1,0,0.5
201906,763.6,91.6,6.2,6.5,40.3,18.2,0.1,62.2,0.4,0.7,567.1,152.4,99.4,39.2,54.7,14.3,5.7,2.3,624.9,108.2,22.3,24.8,45.1,2.3,14,537.6,185,27,61.6,12.5,1.1,39.8,14.3,66.6,123.2,2.4,3.6,6.2,7.3,3,1.1,1.2,1.4,5.1,3.1,4.2,2.2,28.5,25.8,11.3,3.9,36.8,2.1,15.5,2.5,1.1,12.2,4.2,4.2,4.1,4.8,17.9,11.3,11.5,4.5,27.1,0,2.3,0.2,3.2,0,182,8,19.9,33.9,1.2,2.8,0.8,40.5,184.7,0,0,0.2
201907,1074.1,61,2,5,7.4,14.6,0.1,62.5,0.6,0.7,347.4,207.9,59,59,60.1,5.7,2.8,0.6,279,98,20.8,8,20.5,2.7,3.1,412.7,183.2,18,78.2,10.6,0.7,40.1,13.9,85.3,52.7,2.1,2,4.9,29.9,1.6,1,0.6,1.4,4.1,0.8,4.6,1.6,22.5,12.3,10,2.7,46.2,2.2,19.8,1.5,1,17.4,4.2,5,4.2,5.4,14,7.8,10.3,3.8,20.8,0.1,0.9,1.3,2.9,0,188.2,7.8,21.4,33.3,1.2,2.7,0.8,40.4,179,0,0,0.2
201908,1050.4,29.9,0.1,7.3,8,10.9,0.1,76.5,2.4,0.5,124.7,107.5,28.6,51.7,38.9,5.6,0.1,1.3,224.7,100,25.7,2.1,5.7,1.7,0.6,407.1,178,13.1,63.2,8.3,1.9,38.2,13.1,56.4,23.5,3.7,0.5,3.9,13.7,1.1,0.1,0.2,0.6,4.4,2.1,4.6,0,25.6,16.7,15.5,4.7,95.2,2.7,25.5,1.4,1.7,20.6,2.9,10.2,3.9,2.8,12.9,9.8,10,2.2,6.8,0.3,0.6,1.1,2.2,0,191.1,7.4,19.7,32.2,1.1,2.5,0.7,40.4,171.4,0,0,0.1
201909,1033.9,9.5,1.5,14.2,0.1,9.2,0.1,81.8,2.3,0.8,145.1,93.6,4.2,17.9,11.9,2.1,0,1,202.2,98.8,28.5,0.6,1.1,0.5,0,415.5,184.8,16.1,39.5,8.5,4.7,41.2,12.9,35.5,17.4,3.4,0.4,8.1,4.3,0.9,0.1,0.5,1.5,4.4,3.1,4.5,0,32.6,31,10.2,6.2,62.1,2.4,24,7.7,4.6,19.5,3.3,12.5,3.8,2.7,7,9.2,3.8,1.4,0.7,0.9,2.4,0.1,3.1,0.1,183.6,7,19.1,31,1,2.1,0.7,40.5,166.2,0,0,0.2
